Target,Experiment,GradientBoosting,LogisticRegression,RandomForest
label_1d,Baseline,0.518,0.4948,0.518
label_1d,Emotion Only,0.4842,0.5098,0.4785
label_1d,Topic + Emotion,0.4812,0.5215,0.4987
label_1d,Topic Only,0.5044,0.4827,0.5218
label_3d,Baseline,0.478,0.501,0.4972
label_3d,Emotion Only,0.4851,0.5355,0.4536
label_3d,Topic + Emotion,0.4842,0.5061,0.4621
label_3d,Topic Only,0.5288,0.5,0.493
label_5d,Baseline,0.5179,0.5273,0.5179
label_5d,Emotion Only,0.5267,0.4852,0.549
label_5d,Topic + Emotion,0.5016,0.5023,0.5414
label_5d,Topic Only,0.4856,0.5,0.472
