ticker,target,model,accuracy
AAPL,label_1d,LR,0.5269
AAPL,label_1d,RF,0.4946
AAPL,label_1d,GB,0.4946
AAPL,label_3d,LR,0.5054
AAPL,label_3d,RF,0.4946
AAPL,label_3d,GB,0.5054
AAPL,label_5d,LR,0.5054
AAPL,label_5d,RF,0.4624
AAPL,label_5d,GB,0.4624
AMZN,label_1d,LR,0.5227
AMZN,label_1d,RF,0.4886
AMZN,label_1d,GB,0.5455
AMZN,label_3d,LR,0.5114
AMZN,label_3d,RF,0.4886
AMZN,label_3d,GB,0.4886
AMZN,label_5d,LR,0.4545
AMZN,label_5d,RF,0.4659
AMZN,label_5d,GB,0.4659
GOOGL,label_1d,LR,0.5149
GOOGL,label_1d,RF,0.5545
GOOGL,label_1d,GB,0.5545
GOOGL,label_3d,LR,0.5347
GOOGL,label_3d,RF,0.5545
GOOGL,label_3d,GB,0.5446
GOOGL,label_5d,LR,0.5446
GOOGL,label_5d,RF,0.5545
GOOGL,label_5d,GB,0.5545
META,label_1d,LR,0.4507
META,label_1d,RF,0.6056
META,label_1d,GB,0.6056
META,label_3d,LR,0.5775
META,label_3d,RF,0.6197
META,label_3d,GB,0.5634
META,label_5d,LR,0.4648
META,label_5d,RF,0.4366
META,label_5d,GB,0.4648
MSFT,label_1d,LR,0.4359
MSFT,label_1d,RF,0.4872
MSFT,label_1d,GB,0.4872
MSFT,label_3d,LR,0.3462
MSFT,label_3d,RF,0.3846
MSFT,label_3d,GB,0.3846
MSFT,label_5d,LR,0.3974
MSFT,label_5d,RF,0.4359
MSFT,label_5d,GB,0.4359
NVDA,label_1d,LR,0.4375
NVDA,label_1d,RF,0.4688
NVDA,label_1d,GB,0.4688
NVDA,label_3d,LR,0.5
NVDA,label_3d,RF,0.5469
NVDA,label_3d,GB,0.5156
NVDA,label_5d,LR,0.4844
NVDA,label_5d,RF,0.4531
NVDA,label_5d,GB,0.4531
TSLA,label_1d,LR,0.5
TSLA,label_1d,RF,0.5
TSLA,label_1d,GB,0.5
TSLA,label_3d,LR,0.4891
TSLA,label_3d,RF,0.5
TSLA,label_3d,GB,0.5
TSLA,label_5d,LR,0.4239
TSLA,label_5d,RF,0.4022
TSLA,label_5d,GB,0.5
