Ticker,Target,Experiment,Model,Accuracy,F1,Balanced Accuracy
AAPL,label_1d,Baseline,LogisticRegression,0.5536,0.7126,0.5
AAPL,label_1d,Baseline,RandomForest,0.4643,0.5946,0.4348
AAPL,label_1d,Baseline,GradientBoosting,0.4643,0.5946,0.4348
AAPL,label_1d,Topic Only,LogisticRegression,0.4643,0.5588,0.4465
AAPL,label_1d,Topic Only,RandomForest,0.5714,0.6667,0.5471
AAPL,label_1d,Topic Only,GradientBoosting,0.5893,0.6667,0.571
AAPL,label_1d,Emotion Only,LogisticRegression,0.5536,0.6377,0.5348
AAPL,label_1d,Emotion Only,RandomForest,0.4464,0.5507,0.4265
AAPL,label_1d,Emotion Only,GradientBoosting,0.5,0.6,0.4787
AAPL,label_1d,Topic + Emotion,LogisticRegression,0.5179,0.6087,0.4987
AAPL,label_1d,Topic + Emotion,RandomForest,0.4643,0.5714,0.4426
AAPL,label_1d,Topic + Emotion,GradientBoosting,0.5179,0.64,0.4871
AAPL,label_3d,Baseline,LogisticRegression,0.4286,0.4483,0.4297
AAPL,label_3d,Baseline,RandomForest,0.4286,0.4667,0.4258
AAPL,label_3d,Baseline,GradientBoosting,0.4286,0.4667,0.4258
AAPL,label_3d,Topic Only,LogisticRegression,0.5536,0.7126,0.5
AAPL,label_3d,Topic Only,RandomForest,0.5714,0.6667,0.5471
AAPL,label_3d,Topic Only,GradientBoosting,0.5179,0.5846,0.5065
AAPL,label_3d,Emotion Only,LogisticRegression,0.5179,0.64,0.4871
AAPL,label_3d,Emotion Only,RandomForest,0.4643,0.5588,0.4465
AAPL,label_3d,Emotion Only,GradientBoosting,0.4643,0.5455,0.4503
AAPL,label_3d,Topic + Emotion,LogisticRegression,0.3929,0.4138,0.3935
AAPL,label_3d,Topic + Emotion,RandomForest,0.4286,0.5429,0.4065
AAPL,label_3d,Topic + Emotion,GradientBoosting,0.5,0.5882,0.4826
AAPL,label_5d,Baseline,LogisticRegression,0.5,0.6667,0.5
AAPL,label_5d,Baseline,RandomForest,0.5,0.6585,0.5
AAPL,label_5d,Baseline,GradientBoosting,0.5,0.6585,0.5
AAPL,label_5d,Topic Only,LogisticRegression,0.5,0.6667,0.5
AAPL,label_5d,Topic Only,RandomForest,0.5536,0.6479,0.5536
AAPL,label_5d,Topic Only,GradientBoosting,0.4821,0.5538,0.4821
AAPL,label_5d,Emotion Only,LogisticRegression,0.5179,0.64,0.5179
AAPL,label_5d,Emotion Only,RandomForest,0.4643,0.5455,0.4643
AAPL,label_5d,Emotion Only,GradientBoosting,0.4821,0.5672,0.4821
AAPL,label_5d,Topic + Emotion,LogisticRegression,0.5357,0.6486,0.5357
AAPL,label_5d,Topic + Emotion,RandomForest,0.5,0.6,0.5
AAPL,label_5d,Topic + Emotion,GradientBoosting,0.5179,0.597,0.5179
AMZN,label_1d,Baseline,LogisticRegression,0.5652,0.0,0.5
AMZN,label_1d,Baseline,RandomForest,0.5217,0.2143,0.4788
AMZN,label_1d,Baseline,GradientBoosting,0.5217,0.2143,0.4788
AMZN,label_1d,Topic Only,LogisticRegression,0.5652,0.0,0.5
AMZN,label_1d,Topic Only,RandomForest,0.6087,0.5263,0.5962
AMZN,label_1d,Topic Only,GradientBoosting,0.6522,0.6364,0.6577
AMZN,label_1d,Emotion Only,LogisticRegression,0.5435,0.2222,0.4981
AMZN,label_1d,Emotion Only,RandomForest,0.4565,0.359,0.4442
AMZN,label_1d,Emotion Only,GradientBoosting,0.4348,0.35,0.425
AMZN,label_1d,Topic + Emotion,LogisticRegression,0.3913,0.0667,0.3519
AMZN,label_1d,Topic + Emotion,RandomForest,0.4783,0.3333,0.4577
AMZN,label_1d,Topic + Emotion,GradientBoosting,0.3913,0.2222,0.3692
AMZN,label_3d,Baseline,LogisticRegression,0.5,0.5306,0.5173
AMZN,label_3d,Baseline,RandomForest,0.4783,0.0,0.4231
AMZN,label_3d,Baseline,GradientBoosting,0.4783,0.0,0.4231
AMZN,label_3d,Topic Only,LogisticRegression,0.5652,0.0,0.5
AMZN,label_3d,Topic Only,RandomForest,0.6304,0.6531,0.65
AMZN,label_3d,Topic Only,GradientBoosting,0.587,0.6122,0.6058
AMZN,label_3d,Emotion Only,LogisticRegression,0.587,0.4571,0.5654
AMZN,label_3d,Emotion Only,RandomForest,0.587,0.5366,0.5827
AMZN,label_3d,Emotion Only,GradientBoosting,0.4783,0.4,0.4692
AMZN,label_3d,Topic + Emotion,LogisticRegression,0.5435,0.5116,0.5442
AMZN,label_3d,Topic + Emotion,RandomForest,0.5217,0.4762,0.5192
AMZN,label_3d,Topic + Emotion,GradientBoosting,0.5217,0.4762,0.5192
AMZN,label_5d,Baseline,LogisticRegression,0.5,0.5306,0.5173
AMZN,label_5d,Baseline,RandomForest,0.4565,0.2424,0.4269
AMZN,label_5d,Baseline,GradientBoosting,0.4565,0.2424,0.4269
AMZN,label_5d,Topic Only,LogisticRegression,0.6522,0.5556,0.6346
AMZN,label_5d,Topic Only,RandomForest,0.6304,0.6047,0.6327
AMZN,label_5d,Topic Only,GradientBoosting,0.6957,0.6818,0.7019
AMZN,label_5d,Emotion Only,LogisticRegression,0.5435,0.5116,0.5442
AMZN,label_5d,Emotion Only,RandomForest,0.5435,0.5333,0.55
AMZN,label_5d,Emotion Only,GradientBoosting,0.4348,0.381,0.4308
AMZN,label_5d,Topic + Emotion,LogisticRegression,0.4348,0.5,0.4596
AMZN,label_5d,Topic + Emotion,RandomForest,0.5435,0.5333,0.55
AMZN,label_5d,Topic + Emotion,GradientBoosting,0.413,0.3415,0.4058
GOOGL,label_1d,Baseline,LogisticRegression,0.4762,0.6452,0.5
GOOGL,label_1d,Baseline,RandomForest,0.4762,0.6452,0.5
GOOGL,label_1d,Baseline,GradientBoosting,0.4762,0.6452,0.5
GOOGL,label_1d,Topic Only,LogisticRegression,0.4762,0.6452,0.5
GOOGL,label_1d,Topic Only,RandomForest,0.5556,0.641,0.5682
GOOGL,label_1d,Topic Only,GradientBoosting,0.5238,0.6154,0.5364
GOOGL,label_1d,Emotion Only,LogisticRegression,0.5079,0.6437,0.5273
GOOGL,label_1d,Emotion Only,RandomForest,0.5714,0.6747,0.5879
GOOGL,label_1d,Emotion Only,GradientBoosting,0.5556,0.5882,0.5606
GOOGL,label_1d,Topic + Emotion,LogisticRegression,0.4762,0.6292,0.497
GOOGL,label_1d,Topic + Emotion,RandomForest,0.5714,0.6747,0.5879
GOOGL,label_1d,Topic + Emotion,GradientBoosting,0.4921,0.5556,0.5
GOOGL,label_3d,Baseline,LogisticRegression,0.5079,0.6737,0.5
GOOGL,label_3d,Baseline,RandomForest,0.5079,0.6737,0.5
GOOGL,label_3d,Baseline,GradientBoosting,0.5079,0.6737,0.5
GOOGL,label_3d,Topic Only,LogisticRegression,0.5079,0.6737,0.5
GOOGL,label_3d,Topic Only,RandomForest,0.4762,0.6292,0.4698
GOOGL,label_3d,Topic Only,GradientBoosting,0.4603,0.5854,0.4556
GOOGL,label_3d,Emotion Only,LogisticRegression,0.4603,0.6136,0.4541
GOOGL,label_3d,Emotion Only,RandomForest,0.5873,0.7045,0.5811
GOOGL,label_3d,Emotion Only,GradientBoosting,0.5873,0.675,0.5832
GOOGL,label_3d,Topic + Emotion,LogisticRegression,0.5079,0.6667,0.5005
GOOGL,label_3d,Topic + Emotion,RandomForest,0.5556,0.6889,0.5489
GOOGL,label_3d,Topic + Emotion,GradientBoosting,0.5397,0.6506,0.5348
GOOGL,label_5d,Baseline,LogisticRegression,0.4603,0.6304,0.5
GOOGL,label_5d,Baseline,RandomForest,0.4603,0.6304,0.5
GOOGL,label_5d,Baseline,GradientBoosting,0.4603,0.6304,0.5
GOOGL,label_5d,Topic Only,LogisticRegression,0.4603,0.6304,0.5
GOOGL,label_5d,Topic Only,RandomForest,0.5238,0.6341,0.5512
GOOGL,label_5d,Topic Only,GradientBoosting,0.5238,0.6154,0.5461
GOOGL,label_5d,Emotion Only,LogisticRegression,0.381,0.5412,0.4113
GOOGL,label_5d,Emotion Only,RandomForest,0.4603,0.5854,0.4873
